Id,FName,LName,Email,Department,Salary,Gender,Age,City
1001,"John Doe",Roy,e@ibm.co.in,IT,35000,Male,25,London
1002,"Mary Smith",Chi,e@ibm.co.in,HR,45000,Female,27,Mumbai
1003,"James Brown",Roy,e@ibm.co.in,Finance,50000,Male,28,Delhi
1004,"Mike Walker",Bose,e@ibm.co.in,Finance,50000,Male,28,London
1005,"Linda Jones",Roy,e@ibm.co.in,HR,75000,Female,26,Mumbai
1006,"Anurag Mohanty",Roy,e@ibm.co.in,IT,35000,Male,25,London
1007,"Priyanla Dewangan",Gupta,e@ibm.co.in,HR,45000,Female,27,Mumbai
1008,"Sambit Mohanty",Gupta,e@ibm.co.in,IT,50000,Male,28,London
1009,"Pranaya Kumar",Gupta,e@ibm.co.in,IT,50000,Male,28,London
1010,"Hina Sharma",Gupta,e@ibm.co.in,HR,75000,Female,26,Mumbai
1011,"Anurag Gupta",Roy,e@ibm.co.in,IT,67000,Male,25,London
1012,"Priyaa Dewangan",Gupta,e@ibm.co.in,HR,45000,Female,27,Mumbai
1013,"Shaerty Mohanty",Bose,e@ibm.co.in,IT,50000,Male,28,London
1014,"Pranay Kumar",Gupta,e@ibm.co.in,IT,78000,Male,28,London
1015,"Hinaka Sharma",Bose,e@ibm.co.in,HR,75000,Female,26,Mumbai
1017,Shareen,Roy,e@ibm.co.in,Analytics,175000,Female,26,Oulu
1020,Alenia,Gupta,e@ibm.co.in,Analytics,23455,Female,26,Oulu
1021,Shiertuitre,Gupta,e@ibm.co.in,HR,75000,Female,26,Oulu
2014,"Parag Kumar",Bose,e@ibm.co.in,IT,178000,Male,28,London
2015,"Henry Sharma",Bose,e@ibm.co.in,HR,275000,Female,26,Mumbai
2017,Shabana,Bose,e@ibm.co.in,Analytics,75000,Female,26,Oulu
2020,Alina,Bose,e@ibm.co.in,Analytics,43455,Female,26,Oulu
2021,Shiladitya,Bose,e@ibm.co.in,HR,35000,Female,26,Oulu
2023,Riza,Murtaza,e@ibm.co.in,HR,35000,Female,26,Oulu
